id,title,runningTimeInMinutes,releaseDate,certificate,rating,ratingcount,text
tt6166392,Wonka,116,2023-12-15,PG,7.2,76547,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
tt16277242,Society of the Snow,144,2024-01-04,R,7.9,77740,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.
tt4460800,The Kitchen,107,2024-01-19,R,4.9,5046,"In a dystopian future London where all social housing has been eliminated, Izi and Benji fight to navigate the world as residents of The Kitchen, a community that refuses to abandon their home."
tt6166392,Wonka,116,2023-12-15,PG,7.2,76547,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
tt16277242,Society of the Snow,144,2024-01-04,R,7.9,77740,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive.
tt4460800,The Kitchen,107,2024-01-19,R,4.9,5046,"In a dystopian future London where all social housing has been eliminated, Izi and Benji fight to navigate the world as residents of The Kitchen, a community that refuses to abandon their home."
tt4460800,The Kitchen,107,2024-01-19,R,4.9,5046,"In a dystopian future London where all social housing has been eliminated, Izi and Benji fight to navigate the world as residents of The Kitchen, a community that refuses to abandon their home."
tt1517268,Barbie,114,2023-07-21,PG-13,6.9,479449,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
tt9663764,Aquaman and the Lost Kingdom,124,2023-12-22,PG-13,5.8,44500,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom."
tt11858890,The Creator,133,2023-09-29,PG-13,6.8,130227,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
tt11858890,The Creator,133,2023-09-29,PG-13,6.8,130227,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child."
tt23289160,Godzilla Minus One,124,2023-12-01,PG-13,8.3,41867,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
tt23289160,Godzilla Minus One,124,2023-12-01,PG-13,8.3,41867,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
tt6495056,Migration,83,2023-12-22,PG,6.7,10203,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.
tt10676048,The Marvels,105,2023-11-10,PG-13,5.6,82978,"Carol Danvers gets her powers entangled with those of Kamala Khan and Monica Rambeau, forcing them to work together to save the universe."
tt11304740,Wish,95,2023-11-22,PG,5.7,17780,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
tt11304740,Wish,95,2023-11-22,PG,5.7,17780,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
tt14998742,Rebel Moon: Part One - A Child of Fire,133,2023-12-21,PG-13,5.6,94124,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
tt9603212,Mission: Impossible - Dead Reckoning Part One,163,2023-07-12,PG-13,7.7,220788,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
tt9603212,Mission: Impossible - Dead Reckoning Part One,163,2023-07-12,PG-13,7.7,220788,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
tt0918940,The Legend of Tarzan,110,2016-07-01,PG-13,6.2,186605,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,157,2023-11-17,PG-13,6.9,91885,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,157,2023-11-17,PG-13,6.9,91885,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
tt6587046,The Boy and the Heron,124,2023-12-08,PG-13,7.6,38570,"A young boy named Mahito yearning for his mother ventures into a world shared by the living and the dead. There, death comes to an end, and life finds a new beginning."
tt1160419,Dune,155,2021-10-22,PG-13,8.0,750836,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
tt29538571,Sixty Minutes,88,2024-01-19,TV-MA,5.7,2293,"Desperate not to lose custody, a mixed martial arts fighter makes dangerous enemies when he ditches a matchup to race to his daughter's birthday party."
tt0816692,Interstellar,169,2014-11-07,PG-13,8.7,2050593,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
tt9362722,Spider-Man: Across the Spider-Verse,140,2023-06-02,PG,8.6,339756,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
tt1462764,Indiana Jones and the Dial of Destiny,154,2023-06-30,PG-13,6.6,185394,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
tt1462764,Indiana Jones and the Dial of Destiny,154,2023-06-30,PG-13,6.6,185394,Archaeologist Indiana Jones races against time to retrieve a legendary artifact that can change the course of history.
tt5433140,Fast X,141,2023-05-19,PG-13,5.8,112574,Dom Toretto and his family are targeted by the vengeful son of drug kingpin Hernan Reyes.
tt0106246,Alive,128,1993-01-15,R,7.1,63009,"After crash-landing in the snowswept Andes, a Uruguayan rugby team has no choice but to turn to desperate measures in order to survive."
tt14362112,Trolls Band Together,91,2023-11-17,PG,6.0,10308,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd."
tt6710474,Everything Everywhere All at Once,139,2022-04-08,R,7.8,511469,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
tt19637052,Love Lies Bleeding,104,2024-03-08,R,7.3,118,"A romance fueled by ego, desire and the American Dream."
tt0241527,Harry Potter and the Sorcerer's Stone,152,2001-11-16,PG,7.6,846411,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
tt1136617,The Killer,118,2023-11-10,R,6.7,166597,"After a fateful near-miss, an assassin battles his employers and himself, on an international manhunt he insists isn't personal."
tt29722855,Badland Hunters,107,2024-01-26,TV-MA,6.0,2988,"When an earthquake turns Seoul into a lawless badland, a fearless huntsman goes on to rescue a teenager from a mad doctor who held the teenager captive in a camp full of dangerous cultists."
tt0120737,The Lord of the Rings: The Fellowship of the Ring,178,2001-12-19,PG-13,8.9,1981052,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
tt1375666,Inception,148,2010-07-16,PG-13,8.8,2515193,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
tt1375666,Inception,148,2010-07-16,PG-13,8.8,2515193,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
tt6718170,The Super Mario Bros. Movie,92,2023-04-05,PG,7.0,226914,"A plumber named Mario travels through an underground labyrinth with his brother Luigi, trying to save a captured princess."
tt6791350,Guardians of the Galaxy Vol. 3,150,2023-05-05,PG-13,7.9,366002,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
tt4513678,Ghostbusters: Afterlife,124,2021-11-19,PG-13,7.1,208385,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
tt1392170,The Hunger Games,142,2012-03-23,PG-13,7.2,992765,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
tt1392170,The Hunger Games,142,2012-03-23,PG-13,7.2,992765,Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
